key	nonce	en
asim	desc	В данном тесте термин «Ассимиляция» используется для обозначения людей, которые верят в иммиграцию, если иммигранты адаптируются к культуре нации. Они склонны поддерживать международные сделки, которые не нарушают традиции нации, но не будут поддерживать сделки, которые могут привести к риску отказа от тех частей, которые традиционно делают нацию такой, какая она есть.
glob	desc	В данном тесте «Интернационализм» рассматривается как обязанность нации служить интересам всех людей в мире, а не только своим собственным. Сторонники интернацилнализма считают, что нация должна принимать меры по улучшению жизни в мире посредством гуманитарных акций за рубежом, и что нация должна быть гостеприимной к иностранцам и оказывать им помощь, когда это необходимо.
glob*	desc	«Глобализм», согласно этому тесту, означает убеждение, что мы, как человечество — один мир, граждане планеты Земля, и что мы все должны заботиться друг о друге. Идеалом для глобалиста является дипломатическое объединение всех стран в единое мировое правительство, способное позаботиться обо всех людях. А пока этого не произошло, они верят в доброжелательное отношение к иммигрантам и беженцам.
pop	desc	В данном тесте «Национал-популизм» используется для обозначения людей, которые верят в то, что все делается для блага народа их страны. Они обычно поддерживают международные договоры, если они могут принести пользу населению страны, и выступают против договоров, которые могут подвергнуть их риску или лишить их прав.
sov	desc	В этом тесте сторонники национального «Суверенитета» считают, что нация должна иметь абсолютное право контролировать свои законы. Эти люди считают, что нация должна иметь право контролировать свои границы и законы, и будут выступать против сделок и организаций, которые угрожают отобрать у нации часть этой власти.
iso	desc	В этом тесте «Изоляционизм» используется для обозначения убеждения, что нация должна оставаться сосредоточенной внутри страны и игнорировать внешний мир. Они обычно верят в полный запрет на въезд людей в страну и выступают против любых соглашений с другими государствами.
nat	desc	«Национализм» в рамках данного означает убеждение, что во внешней политике на первом месте стоят интересы государства. Националисты могут поддерживать сделки с другими странами, которые могут дать государству больше власти, и они обычно поддерживают иммиграцию только в том случае, если иммигранты восполняют дефицит или иным образом добавляют что-то для государства.
nat*	desc	«Империализм», согласно этому тесту, означает то, что нация должна делать все, что в ее силах, чтобы улучшить себя. Это включает в себя военный захват земель, на которые она претендует, и, если это служит интересам нации, захват еще больших земель, которые должны принадлежать нации.
open	desc	Сторонники «Открытых границ», согласно этому тесту, обычно считают, что люди должны иметь возможность свободно въезжать и выезжать из страны. Более радикальная форма открытых границ также может предполагать отсутствие армии или каких-либо служб шпионажа. Сторонники этой модели обычно не делают многого за границей и не решаются заключать сделки, которые могут повлечь за собой риск ущемления свободы.
open*	desc	Сторонники «Минимализма», согласно этому тесту, верят в то, что центральное правительство не должно быть настолько велико, чтобы иметь возможность действительно проводить внешнюю политику. Они обычно твердо верят в открытые границы и хотят позволить людям свободно приезжать и уезжать из страны, и обычно выступают против национального языка или культуры.
athe*	desc	Согласно этому тесту, сторонники «Государственного антитезима» (иначе говоря антирелигии) считают, что религия в стране должна быть полностью запрещена. Они считают, что религии не должно быть места в государстве, и будут навязывать государственный атеизм всем гражданам страны путем запрета на любую религиозную деятельность.
praysch	0	Most schools should have daily prayer
praysch	1	I support having a minute of silence in public schools, in which students may pray if they choose, but will not enforce it upon anyone
praysch	2	Prayer does not need a dedicated time slot in schools. Students may pray on their own time if they wish
praysch	3	Private religious schools may have prayers if they want, but any public schools that exist should not
creationism		Креационизм в Школе
creationism	0	The universe was created by a higher power. We must teach this in our schools, and evolution should only be mentioned when demonstrating how it is wrong.
creationism	1	The church does not belong in our public schools. Private schools may teach creationism if they wish, but public schools should only teach scientific theories such as evolution.
creationism	2	Schools should be required to teach the evolution and evolution alone. That is science and facts, and pretending it is not does a disservice to our children
creationism	3	The state must not take sides. Public schools should be required to teach both creationism and evolution, and students can decide for themselves what to believe.
churchtax		Taxation of Religious Buildings
churchtax	0	Religious buildings should receive state funding to ensure they are able to stay open.
churchtax	1	Religious buildings should be taxed, as the state should not be giving religion special privileges over other businesses.
churchtax	2	The state should exempt all religious buildings from taxation, as long as it is exempting those of all religions.
churchtax	3	Religious buildings should be banned
memorial		Religious Statements on National Memorials
memorial	0	Religion is an important part of our nation, and most of our soldiers would want religious messages on their memorials
memorial	1	I'm opposed to mentioning a deity that probably doesn't exist on our memorials to the real people who died for our nation.
memorial	2	Our national memorials should not mention God or religion, only to serve to honor the fallen.
memorial	3	There is nothing wrong with mentioning God on our memorials as long as it isn't actively promoting any particular religion.
holidays		Religious Holidays
holidays	0	Religious holidays of the most popular religion in the nation should also be national holidays that everyone can have off around them
holidays	1	The state should not make religious holidays national holidays and instead have more holidays around dates significant to our nation, like an election day, or to emphasize relaxation rather than religious observation.
holidays	2	The government should guarantee the most holy holidays of all major religions in the nation off so those of all religions can perform their religious duties
elections		Elections
elections	0	The vote of an educated person should be worth more than that of a fool.
elections	1	Every person must have a vote, but it should be weighted geographically for at least one chamber of the legislature to ensure one region cannot dominate the legislature
elections	2	A vote is a vote, and all votes should count exactly the same
elections	3	There shouldn't be a government to even vote to put people in
elections	4	Voting is really an unnecessary process, the whims of the masses are irrelevant
elections	5	Those who put more money into the government deserve to get more out of their vote
elections	6	Those who serve the country through the military should have more of a say in the government than those who do not
representation		Representatives
representation	0	I do not want representation, I want the government to be abolished
representation	1	I want a representative who I can bribe to get my legislative agenda prioritized
representation	2	I want a leader who will represent the popular opinion of the area they serve even when they personally disagree
representation	3	I want a representative who will bring stability and strength through a lifelong rule
representation	4	I want leaders who are experts in various fields and can use that knowledge to create well-informed policies
representation	5	I do not want representation, I want to be able to directly vote on most issues as referenda
representation	6	I want a leader who has served in the military and worked their way up the ranks
concentration		Concentration of Power
concentration	0	Power must be decentralized to everyone with important decisions ultimately decided through frequent national referenda. People generally know what they want and are able to understand issues with a little explanation.
concentration	1	Policy should not be set by politicians, but by experts in each field, who are able to actually understand the issues, something that politicians will never truly be able to do.
concentration	2	We should distribute power by region in the nation, with representatives from each region deciding national policy, but also leaving many issues to the regions themselves to decide locally
concentration	3	Power should be concentrated according to wealth. Citizens who are wealthier have a bigger stake in the nation and in most cases understand both a specialization, how people think, and what they want, which allowed them to become wealthy
concentration	4	Nobody should have the power to make laws, people should have the freedom to decide for themselves what is wrong and what is justified
concentration	5	Only those who have served in the military and potentially risked their life for the nation can be fully trusted with the nation's interests, and only those who served it should thus be given a voice in power
concentration	6	We need a single leader above all who can serve for life and be able to fully understand the big picture. Without worrying about what the public thinks, the leader can make the best decisions for the nation as a whole
concentration	7	Power should be distributed to everyone through a large legislative body with enough people to represent the views of each person. Politicians are important to be able to spend their full time understanding issues, listening to experts and evaluating the big picture
districts		Districts
districts	0	We should have people represented in our legislature proportionally with their vote on a nationwide level. If 10% of the population nationally supports a party, 10% of the legislature should be that party
districts	1	The government should represent the people who represented it through the military and other national service
districts	2	We should have districts nationally with representatives that represent roughly the same number of people, but a guaranteed minimum representation for geographic areas
districts	3	Representatives are interfering with democracy. Rather than representation, we should directly vote on all important issues nationally
districts	4	There should be a single non-elected ruler who represents everyone by considering the interests of the entire nation when making decisions
districts	5	Each person should look out for their own interests, not through government or voting, but through their own means
districts	6	The population does not need to be represented so much as all parties who the policy will effect need a specialized representative to analyze the issue from that perspective
districts	7	Representatives should represent an equal amount of land. If you've invested enough in the country to own an entire district worth of land, you probably have an interest in the nation's success and should be given a district worth of representation
trait		Most Important Trait in a Political Leader
trait	0	We should make our own decisions, we don't need a leader above us
trait	1	The most important quality in a leader is political courage. We need someone who will make the decisions that need to be made, even if they are unpopular
trait	2	The most important quality in a leader is power. We need someone who can influence policy through connections beyond the office they hold
trait	3	The most important quality in a leader is intelligence. We need someone who can understand problems and find solutions to them
trait	4	The most important quality in a leader is experience. We need someone who knows how to make decisions and understands our government functions
trait	5	The most important quality in a leader is empathy. We need someone who is capable of understanding our issues and addressing them as we want
electionreform		Election Reform
electionreform	0	We should reform elections by making it legal to sell your vote
electionreform	1	We should be making elections secure and open using internet technologies such as blockchain or allowing electronic vote delegation
electionreform	2	We should improve our election security through being more strict in ID laws and searching for cases of double voting.
electionreform	3	We must reform our elections by expanding ballot access. Citizens should be automatically registered and sent a ballot
electionreform	4	Elections should be cancelled, as the law should not be decided by popular opinion
secession		Right to Secession
secession	0	We should not have provinces and be a unitary state, so there should not be anywhere clearly defined to be able to secede
secession	1	Provinces should not be allowed to secede, however, we should give states more flexibility in setting their own laws such that they can pass the laws that they want except in extreme cases such as violating human rights
secession	2	Those who want independence should not be forced to remain a part of our nation, any individual should have the right to take their own land and property and declare themselves independent without a vote
secession	3	Provinces should have the right to secede. It should be possible for one to organize a referendum and secede if it passes with overwhelming support
secession	4	Provinces should exist but in most cases should not be given independence referendums, and certainly not as a right
leaderselect		Leader Selection
leaderselect	0	Leaders should be appointed by the previous leader based on merit to ensure we always have competent leadership
leaderselect	1	Leaders should be chosen, but not directly through popular vote. It should be weighted to ensure that the votes of all provinces count rather than just the biggest ones.
leaderselect	2	Leaders should mostly be hereditary, passed down through blood
leaderselect	3	Leaders should be chosen through military experience. Those who have proved their ability to lead by working their way up the ranks deserve to lead the nation
leaderselect	4	Leaders should be chosen democratically by the nation that they will lead
leaderselect	5	Leaders should be chosen by the individuals with the largest stake in the nation, similar to how a corporation might choose its CEO
leaderselect	6	We should not have a single designated leader, to be chosen through any method
policysetting		Power for Policy-Setting
policysetting	0	Power to set policy should largely lie at the provincial or local level, with limited national power
policysetting	1	The executive of the nation should hold the majority of decision-making power and generally be the one to create policy
policysetting	2	An elected national legislative branch should primarily be the one to set policy for the entire nation and overrule any laws at the provincial level
policysetting	3	Policy-setting power should lie within the executive branch, but through the appointed cabinet and bureaucracy who can better specialize their knowledge more than the executive
policysetting	4	Power should lie with the people directly, who should initiate legislation through citizen-initiated ballot measures
policysetting	5	The wealthiest individuals should hold power, as they are generally the most capable and contribute the most to the nation
policysetting	6	The military should ultimately hold power and the ability to set policy
policysetting	7	No person or body should hold power over an individual, we should be free to live our lives
policysetting	8	Power should be shared between the national and local governments roughly equally
peoplepolicy		The Role of People in Policy
peoplepolicy	0	The population, as a collective, generally can understand and make good decisions in terms of policy with a little bit of explanation, to be able to decide what they want directly
peoplepolicy	1	The wealthy tend to know what they want and have good opinions, but the poor rarely know what is good for them
peoplepolicy	2	The general population has bad opinions and the government would be better off without their opinions
peoplepolicy	3	People must be given a say, but government must try to avoid the tyranny of the majority by having more local representation rather than enforcing the nationwide popular opinion on the whole nation
peoplepolicy	4	Other people's opinions should not have an effect on what you are allowed to do
peoplepolicy	5	The population generally knows what they want, but cannot be expected to have the time to research and vote on each issue and should delegate it it to representatives
healthcare		Healthcare
healthcare	0	I support private insurance and healthcare providers, but ensuring that prices are competitive relative to the cost to produce them and prosecuting any cases of price fixing
healthcare	1	I do not want to ban private healthcare or insurance, but I want a public option that will provide a fair rate, that will put private companies that are taking advantage of customers out of business
healthcare	2	Both Healthcare and treatment should be directly provided and guaranteed to all citizens by the nation
healthcare	3	I believe in having not just one, but many government-owned healthcare options. The cost for all of them will be paid for, but you can choose the one that you think has the best service, to create competition between them
healthcare	4	Healthcare should be left to the free market. If healthcare providers or insurers aren't providing affordable service, they will not have customers and go out of business
healthcare	5	Healthcare service should be private, but I will ensure that the government provides a single-payer system to ensure nobody needs to worry about being able to afford the healthcare they need
healthcare	6	Allowing healthcare providers to set their own prices freely allows them to fund additional research and benefits us all by providing new, better treatments
minwage		Minimum Wage
minwage	0	All companies should be required to split their profits fairly throughout their employees. Anyone in charge of the company should not be allowed to be paid significantly more than those at the bottom of the company
minwage	1	There should be a national program that guarantees a job with a wage that people can live comfortably on, working on things such as better infrastructure. Companies that pay less than that will have trouble finding workers to fill their openings
minwage	2	The majority of working people should be paid the value of their labor (with a minimum, a comfortable living wage). There should also be a maximum wage, and managers and executives should be paid a lot less.
minwage	3	People should be guaranteed a living wage from their jobs. They should be able to work a single job with reasonable hours and be guaranteed enough to afford everything they need
minwage	4	There should be no minimum wage. The markets will figure out how much labor is worth and allow us to keep prices competitive with those produced with labor abroad
minwage	5	There should be a moderate living wage that won't put small businesses out of business, as well as a tax on large companies with many workers below the poverty line to pay for any welfare their employees receive and ensure small businesses are competitive
minwage	6	Workers should have a minimum wage to prevent a race to the bottom, but executives develop ideas for their business and take risks in founding it and thus deserve a large portion of their company's profits
minwage	7	People should produce as they can and consume what they need. The concept of money should not exist
isp		Internet Service Providers
isp	0	We should regulate internet service providers to ensure that they provide nationwide coverage and that there are multiple options everywhere to allow competition, and prosecute them if the companies form deals that allow them to create regional monopolies
isp	1	It is expensive for ISPs to connect areas to the internet. They will do their best to ensure coverage at an affordable price, and should only be penalized if they fail to deliver the quality and reliability of internet that they advertised
isp	2	Through taxes, the government should subsidize multiple internet service providers expanding to all areas of the nation in exchange for price guarantees to ensure that everyone has multiple affordable options for internet
isp	3	We should have a national internet service provider that guarantees affordable, reliable, high-speed internet through the entire country. Private companies will have to compete with that as a baseline
isp	4	High Speed Internet Service Providers must be nationalized. They aren't able to have fair competition due to the cost of laying out cables, especially in rural areas
isp	5	We must make it feasible for people to start government-backed internet service providers in their area. These will be owned by the government and provided to everyone, however, people may choose which ISP they want among the options in the area
isp	6	Internet service providers should not be regulated and will find the fair price for internet, which may vary based on how expensive it is to connect an area, based on how much that is worth
ubi		Universal Basic Income
ubi	0	Guaranteeing income is a dangerous idea that disincentivizes working. This would hurt the economy, and I cannot support it
ubi	1	I support a universal basic income paid for by large companies outsourcing or automating jobs almost as much as the difference in cost to allow small businesses to remain competitive
ubi	2	The poor should be guaranteed essentials through government-run public options with discounted rates for the elderly and those in poverty rather than a universal basic income
ubi	3	I support a universal wage a bit lower than the average wage more than a basic income. Those who cannot work due to medical conditions, temporary unemployment, or in retirement should receive it, and the employed should be guaranteed at least that much.
ubi	4	I am opposed to a universal basic income. Working people should be guaranteed a living wage, and benefits for the unemployed and unable to work should be more than a UBI would be worth. The rich do not need that extra bit of income
ubi	5	I support a universal basic income consisting of the profits from government-run companies to distribute their successes and ensure minimal risk for the less successful government-run companies
ubi	6	I support a universal basic income. The poor should not have to prove their status of being poor and have the government manage how they spend their welfare for them
ubi	7	Rather than starting taxation at 0%, there should be a threshold, and those below the threshold are paid, and those who make more than the threshold are taxed, and you should always receive more by working to ensure there is always an incentive to work.
ubi	8	People should be guaranteed their needs. As such, income such as Universal Basic Income should not exist
utilities		Utilities
utilities	0	Utilities will find a fair competitive price. They should not be regulated, even if only one company services an area, they have to compete because people will take them into account when choosing an area to live in
utilities	1	Utilities should be owned by local governments or communities. They will be responsive to the small group they serve, and can be replaced by the community if they are not meeting the needs of the community
utilities	2	Utilities such as electricity and water should be nationalized. They are public goods that everyone needs. Public control allows the best quality since in many places, there is only one option
utilities	3	The government should subsidize utility companies expanding to all areas of the nation. In exchange for this assistance, companies must guarantee a fair price and other guarantees such as a certain percentage of renewable electricity each year
utilities	4	It is expensive for companies to set up utility infrastructure, and they should be expected to set a fair profitable price to make up their investments in a reasonable time
utilities	5	We should have national utilities companies, but not ban private companies. If they can find a market, they can compete with the nationalized options
utilities	6	Utilities should be regulated to ensure that systems are compatible so that multiple companies can connect to the same building. We must prosecute monopolies that do not give a choice
privateschools		Private Schools
privateschools	0	Schools should be private, but the government should provide vouchers to the poor to ensure that every child is able to afford attending school
privateschools	1	All schools should be public schools, however, parents and students should be able to choose which public school they attend rather than having it chosen automatically based on location
privateschools	2	The state should own all schools. This makes it easier to ensure all our students have an equal opportunity to succeed
privateschools	3	There should be a mixture of public and private schools, however, public schools should receive a lot of funding to ensure our children are well educated and ensure they are competitive with private schools
privateschools	4	There should not be public schools. The state should have no obligation to provide education to those who cannot afford it
outsourcing		Outsourcing
outsourcing	0	The Government should nationalize all manufacturing in the nation, and should not outsource jobs
outsourcing	1	We should have national manufacturing subsidized by taxes to keep prices competitive with outsourced jobs. Buyers can decide for themselves which are better
outsourcing	2	We should remove the minimum wage here. Then costs of producing here will be lower than producing abroad and shipping here
outsourcing	3	We should regulate companies to only provide subsidies and government purchases to businesses that perform key manufacturing within the nation, not abroad
outsourcing	4	Outsourcing manual labor allows our citizens to have cheap goods and not have to do routine manual labor, allowing jobs here to be complex work
outsourcing	5	The government should own most industry, but should allow competition between them so there is not just one choice. Since they are government-owned, we can ensure it is all domestically produced
outsourcing	6	We should impose heavy fees on goods produced in countries with worse labor rights than us to ensure companies can produce everything here and have fair competition
bankcrash		Bank Crashing that Will Damage the Economy
bankcrash	0	We should create a single national government-owned bank, and buy all the current banks including the one that is failing. This ensures everyone can pay the same rates and that we can take on the debt the failing one owes
bankcrash	1	The issue is that we have private megabanks. We should instead have local-government-owned community banks that work in the interests of the communities they represent and fund businesses in the area
bankcrash	2	We must not interfere with the free markets. It will fail, and eventually the economy will rebuild itself
bankcrash	3	We should break up big banks before they get to a situation where a crash like this can be caused by one company
bankcrash	4	We should bail out the bank to save the economy but eventually have the bank pay back the money with interest
bankcrash	5	We should purchase this bank and run it as a national bank. Other banks can compete with us, but we can guarantee we won't go bankrupt
bankcrash	6	Banks should not exist in any form
highways		Highways
highways	0	Local governments should build and maintain highways. This ensures they are responsive to the wishes of local communities and their wishes
highways	1	Roads should be privatized. Private highways ensure that only those who use them pay for them and will create better quality
highways	2	We should have many highways be public, but allow private highways to be built to compete. If their quality or placement allows them to be profitable because people choose them, that's a positive for everyone
highways	3	Highways should be operated by the national government. This ensures we can guarantee road quality nationwide that is free for everyone, and should employ a lot of people to work on ensuring top quality
debt		National Debt
debt	0	We should take on debt both to improve the economy and to invest in our population in ways that will pay back more in the long run. We should pay for this debt through higher taxes on bigger companies
debt	1	The government controls the currency. We can print more money when we need more money, and legislate prices to stay level to keep inflation from becoming a problem
debt	2	We should be mindful of debt and pay it off when possible. When the economy takes a downturn, we should spend to help it survive, but we should cut government spending and pay back debt when it picks back up
debt	3	Having national debt is not a bad thing, and we should not cut spending programs to pay it off, though we should have a plan before adding to it
debt	4	The government should not have debt because it should not be spending. We should cut all spending programs and pay off the debt as quickly as possible
debt	5	Currency should not exist, and as a result, debt should not exist
consumergoods		Consumer Goods Production
consumergoods	0	Government-owned industry should manufacture all consumer goods for the population
consumergoods	1	Anyone should be able to start a government-backed company that can produce competing consumer goods
consumergoods	2	The government should not be producing consumer goods, that is for the markets to produce
consumergoods	3	The government should produce consumer goods to ensure an affordable price, however the free market should be able to compete with it
consumergoods	4	The government should regulate consumer goods to ensure safety and compliance with standards, but not produce them
